salsah-id,salsah-url,dsp-url,dsp-iiif-image-api-info,dsp-iiif-image-api-full,signature,former-number,filename,bemerkungen
435665,https://data.dasch.swiss/resources/435665,https://ark.dasch.swiss/ark:/72163/1/0812/mNQ96LHDRDeBTO4GEOiLrAi,https://iiif.dasch.swiss/0812/25cysclMmUR-KWEwUkfb1yB.jpx/info.json,https://iiif.dasch.swiss/0812/25cysclMmUR-KWEwUkfb1yB.jpx/full/max/0/default.jpg,SGV_12N_13430,FK 30,sgv.dir/images/SGV_12N_13430.TIF,Bild fehlt auf der Festplatte.
435666,https://data.dasch.swiss/resources/435666,https://ark.dasch.swiss/ark:/72163/1/0812/4yf8BzlCSdOcmPL11yRbLgF,https://iiif.dasch.swiss/0812/1A2YWGaXe35-SaythJyouL9.jpx/info.json,https://iiif.dasch.swiss/0812/1A2YWGaXe35-SaythJyouL9.jpx/full/max/0/default.jpg,SGV_12N_13431,FK 31,sgv.dir/images/SGV_12N_13431.TIF,Bild fehlt auf der Festplatte.
435667,https://data.dasch.swiss/resources/435667,https://ark.dasch.swiss/ark:/72163/1/0812/hLpjnWBkScetKSR=6U29DgA,https://iiif.dasch.swiss/0812/6p1qb4GUdmc-55lJPDIMzrf.jpx/info.json,https://iiif.dasch.swiss/0812/6p1qb4GUdmc-55lJPDIMzrf.jpx/full/max/0/default.jpg,SGV_12N_13432,FK 32,sgv.dir/images/SGV_12N_13432.TIF,Bild fehlt auf der Festplatte.
435668,https://data.dasch.swiss/resources/435668,https://ark.dasch.swiss/ark:/72163/1/0812/ZHbtVO6XQsiXew6a8RO3DwY,https://iiif.dasch.swiss/0812/7mRRaAg9wQv-1lHJOyl48Jx.jpx/info.json,https://iiif.dasch.swiss/0812/7mRRaAg9wQv-1lHJOyl48Jx.jpx/full/max/0/default.jpg,SGV_12N_13433,FK 33,sgv.dir/images/SGV_12N_13433.TIF,Bild fehlt auf der Festplatte.
435669,https://data.dasch.swiss/resources/435669,https://ark.dasch.swiss/ark:/72163/1/0812/xxtJI=WkQcaYWdJcPIarfQh,https://iiif.dasch.swiss/0812/1N6U6iYDo6y-373v2p3buAi.jpx/info.json,https://iiif.dasch.swiss/0812/1N6U6iYDo6y-373v2p3buAi.jpx/full/max/0/default.jpg,SGV_12N_13434,FK 34,sgv.dir/images/SGV_12N_13434.TIF,Bild fehlt auf der Festplatte.
435670,https://data.dasch.swiss/resources/435670,https://ark.dasch.swiss/ark:/72163/1/0812/88vsPeybQm=NUj28PY6pJQu,https://iiif.dasch.swiss/0812/1zM76r0dzxK-eRZ6kNMFkAf.jpx/info.json,https://iiif.dasch.swiss/0812/1zM76r0dzxK-eRZ6kNMFkAf.jpx/full/max/0/default.jpg,SGV_12N_13435,FK 35,sgv.dir/images/SGV_12N_13435.TIF,Bild fehlt auf der Festplatte.
435671,https://data.dasch.swiss/resources/435671,https://ark.dasch.swiss/ark:/72163/1/0812/lRZQxdl1SXCB7oC8OFVgDwl,https://iiif.dasch.swiss/0812/3kucaAVSdGm-wvF4t16tscZ.jpx/info.json,https://iiif.dasch.swiss/0812/3kucaAVSdGm-wvF4t16tscZ.jpx/full/max/0/default.jpg,SGV_12N_13436,FK 36,sgv.dir/images/SGV_12N_13436.TIF,Bild fehlt auf der Festplatte.
435672,https://data.dasch.swiss/resources/435672,https://ark.dasch.swiss/ark:/72163/1/0812/LFcoCQkFQ6WPBCCKbaVc9Q3,https://iiif.dasch.swiss/0812/3ut56VEt5Yt-Cu9WrIvsKkW.jpx/info.json,https://iiif.dasch.swiss/0812/3ut56VEt5Yt-Cu9WrIvsKkW.jpx/full/max/0/default.jpg,SGV_12N_13437,FK 37,sgv.dir/images/SGV_12N_13437.TIF,Bild fehlt auf der Festplatte.
435673,https://data.dasch.swiss/resources/435673,https://ark.dasch.swiss/ark:/72163/1/0812/Z6bQleCERjKnwkkt77sFNAY,https://iiif.dasch.swiss/0812/2saBRTav2sR-8sxsT7RiYR9.jpx/info.json,https://iiif.dasch.swiss/0812/2saBRTav2sR-8sxsT7RiYR9.jpx/full/max/0/default.jpg,SGV_12N_13438,FK 38,sgv.dir/images/SGV_12N_13438.TIF,Bild fehlt auf der Festplatte.
435674,https://data.dasch.swiss/resources/435674,https://ark.dasch.swiss/ark:/72163/1/0812/JEMDM=HSTAOCMZHyvG8Dlg=,https://iiif.dasch.swiss/0812/4zKuDesuWmO-cmkAJwwSLVJ.jpx/info.json,https://iiif.dasch.swiss/0812/4zKuDesuWmO-cmkAJwwSLVJ.jpx/full/max/0/default.jpg,SGV_12N_13439,FK 39,sgv.dir/images/SGV_12N_13439.TIF,Bild fehlt auf der Festplatte.
435675,https://data.dasch.swiss/resources/435675,https://ark.dasch.swiss/ark:/72163/1/0812/5G4jjnheQfem6GisUSFLmQW,https://iiif.dasch.swiss/0812/2s8Y2CoX9Cg-uS8lX9435HP.jpx/info.json,https://iiif.dasch.swiss/0812/2s8Y2CoX9Cg-uS8lX9435HP.jpx/full/max/0/default.jpg,SGV_12N_13440,FK 40,sgv.dir/images/SGV_12N_13440.TIF,Bild fehlt auf der Festplatte.
435676,https://data.dasch.swiss/resources/435676,https://ark.dasch.swiss/ark:/72163/1/0812/XxQgxnYpSrywKSGmfh1vqQk,https://iiif.dasch.swiss/0812/3JwwiihCz7o-2s2gjmOdrpe.jpx/info.json,https://iiif.dasch.swiss/0812/3JwwiihCz7o-2s2gjmOdrpe.jpx/full/max/0/default.jpg,SGV_12N_13441,FK 41,sgv.dir/images/SGV_12N_13441.TIF,Bild fehlt auf der Festplatte.
