asv id,latitude,longitude,name,desc,color,source,precision
200,47.748379,8.482756,Schleitheim,"Schleitheim, SCHAFFHAUSEN, CH",,MapQuest,city/town
201,47.734522,8.57974,Hemmenthal,"Hemmental, SCHAFFHAUSEN, CH",,MapQuest,city/town
202,47.74595,8.706769,Thayngen,"Thayngen, SCHAFFHAUSEN, CH",,MapQuest,city/town
203,47.687532,8.749267,Diessenhofen,"Diessenhofen, THURGAU, CH",,MapQuest,city/town
204,47.696049,8.634513,Schaffhausen,"Schaffhausen, SCHAFFHAUSEN, CH",,MapQuest,city/town
205,47.696528,8.457861,Hallau,"Hallau, SCHAFFHAUSEN, CH",,MapQuest,city/town
206,47.586562,8.294469,Zurzach,"Bad Zurzach, ARGOVIA, CH",,MapQuest,city/town
207,47.581005,8.250009,Klingnau,"Klingnau, ARGOVIA, CH",,MapQuest,city/town
208,46.879645,7.663077,Oberendingen,"Oberhünigen, BERN - BERNE, CH",,MapQuest,city/town
209,47.568452,8.418364,Kaiserstuhl,"Kaiserstuhl, ARGOVIA, CH",,MapQuest,city/town
210,47.573321,8.523983,Eglisau,"Eglisau, ZURICH, CH",,MapQuest,city/town
211,47.595333,8.679434,Andelfingen,"Andelfingen, ZURICH, CH",,MapQuest,city/town
212,47.661371,8.858237,Stammheim,"Stein am Rhein, SCHAFFHAUSEN, CH",,MapQuest,city/town
213,47.19917,9.228339,Stein,"Stein, ST. GALLEN, CH",,MapQuest,city/town
214,47.665343,8.981525,Steckborn,"Steckborn, THURGAU, CH",,MapQuest,city/town
215,47.646425,9.172556,Kreuzlingen,"Kreuzlingen, THURGAU, CH",,MapQuest,city/town
216,47.61241,9.260705,Altnau,"Altnau, THURGAU, CH",,MapQuest,city/town
217,47.565445,9.377604,Romanshorn,"Romanshorn, THURGAU, CH",,MapQuest,city/town
218,47.47763,9.501998,Rorschach,"Rorschach, ST. GALLEN, CH",,MapQuest,city/town
219,47.472164,9.579488,Rheineck,"Rheineck, ST. GALLEN, CH",,MapQuest,city/town
220,47.442172,9.532089,Heiden,"Heiden, APPENZELL AUSSERRHODEN, CH",,MapQuest,city/town
221,47.425059,9.376588,St. Gallen,"Sankt Gallen, ST. GALLEN, CH",,MapQuest,city/town
222,47.492723,9.239655,Bischofszell,"Bischofszell, THURGAU, CH",,MapQuest,city/town
223,47.552354,9.150166,Bürglen,"Bürglen, THURGAU, CH",,MapQuest,city/town
224,47.601993,9.002021,Müllheim,"Müllheim, THURGAU, CH",,MapQuest,city/town
225,47.607393,8.871922,Hüttwilen,"Hüttwilen, THURGAU, CH",,MapQuest,city/town
226,47.556228,8.896399,Frauenfeld,"Frauenfeld, THURGAU, CH",,MapQuest,city/town
227,47.499169,8.72915,Winterthur,"Winterthur, ZURICH, CH",,MapQuest,city/town
228,47.52018,8.541784,Bülach,"Bülach, ZURICH, CH",,MapQuest,city/town
229,47.505042,8.378573,Niederweningen,"Niederweningen, ZURICH, CH",,MapQuest,city/town
230,47.482463,8.208566,Brugg,"Brugg, ARGOVIA, CH",,MapQuest,city/town
231,47.473683,8.308682,Baden,"Baden, ARGOVIA, CH",,MapQuest,city/town
232,47.162763,9.476409,Buchs,"Buchs, ST. GALLEN, CH",,MapQuest,city/town
233,47.32158,8.640893,Wangen,"Wangen, ZURICH, CH",,MapQuest,city/town
234,47.473149,8.675324,Brütten,"Brütten, ZURICH, CH",,MapQuest,city/town
235,47.494137,8.868881,Elgg,"Elgg, ZURICH, CH",,MapQuest,city/town
236,47.49093,8.955449,Wängi,"Wängi, THURGAU, CH",,MapQuest,city/town
237,47.465441,9.04232,Wil ,"Wil, ST. GALLEN, CH",,MapQuest,city/town
238,47.414613,9.186149,Flawil,"Flawil, ST. GALLEN, CH",,MapQuest,city/town
239,47.409509,9.026701,Kirchberg,"Kirchberg, ST. GALLEN, CH",,MapQuest,city/town
240,47.416183,8.969802,Fischingen,"Fischingen, THURGAU, CH",,MapQuest,city/town
241,47.436668,8.849538,Turbenthal,"Turbenthal, ZURICH, CH",,MapQuest,city/town
242,47.406883,8.402089,Dietikon,"Dietikon, ZURICH, CH",,MapQuest,city/town
243,47.419513,8.274659,Mellingen,"Mellingen, ARGOVIA, CH",,MapQuest,city/town
244,47.387237,8.182851,Lenzburg,"Lenzburg, ARGOVIA, CH",,MapQuest,city/town
245,47.325259,8.207879,Seengen,"Seengen, ARGOVIA, CH",,MapQuest,city/town
246,47.309921,8.24856,Sarmenstorf,"Sarmenstorf, ARGOVIA, CH",,MapQuest,city/town
247,47.351952,8.439633,Birmensdorf,"Birmensdorf, CH",,MapQuest,city/town
248,47.368559,8.540443,Zürich,"Zurich, ZURICH, CH",,MapQuest,city/town
249,47.28194,8.761328,Grüningen,"Grüningen, ZURICH, CH",,MapQuest,city/town
250,47.36975,8.781494,Pfäffikon,"Pfäffikon, ZURICH, CH",,MapQuest,city/town
251,47.387266,8.911653,Sternenberg,"Sternenberg, ZURICH, CH",,MapQuest,city/town
252,47.334051,8.923409,Fischenthal,"Fischenthal, ZURICH, CH",,MapQuest,city/town
253,47.323322,9.088184,Lichtensteig,"Lichtensteig, ST. GALLEN, CH",,MapQuest,city/town
254,47.317503,9.283723,Urnäsch,"Urnäsch, APPENZELL AUSSERRHODEN, CH",,MapQuest,city/town
255,47.38555,9.278757,Herisau,"Herisau, APPENZELL AUSSERRHODEN, CH",,MapQuest,city/town
256,47.329546,9.409806,Appenzell,"Appenzell, APPENZELL INNERRHODEN, CH",,MapQuest,city/town
257,47.36252,9.454257,Gais,"Gais, APPENZELL AUSSERRHODEN, CH",,MapQuest,city/town
258,47.378347,9.541277,Altstätten,"Altstätten, ST. GALLEN, CH",,MapQuest,city/town
259,47.424902,9.610214,Berneck,"Berneck, ST. GALLEN, CH",,MapQuest,city/town
260,47.293517,9.536884,Rüthi,"Rüthi, ST. GALLEN, CH",,MapQuest,city/town
261,47.29707,9.456126,Brüllisau,"Brulisau, APPENZELL INNERRHODEN, CH",,MapQuest,city/town
262,47.263534,9.123356,Ebnat,"Ebnat-Kappel, ST. GALLEN, CH",,MapQuest,city/town
263,47.225064,8.985608,Uznach,"Uznach, ST. GALLEN, CH",,MapQuest,city/town
264,46.88018,7.460581,Wald,"Wald, BERN - BERNE, CH",,MapQuest,city/town
265,47.22692,8.824546,Rapperswil,"Rapperswil-Jona, ST. GALLEN, CH",,MapQuest,city/town
266,47.26942,8.64259,Meilen,"Meilen, ZURICH, CH",,MapQuest,city/town
267,47.260692,8.597683,Horgen,"Horgen, ZURICH, CH",,MapQuest,city/town
268,47.039177,8.783416,Oberiberg,"Oberiberg, Schwyz, SCHWYZ, CH",,MapQuest,city/town
269,47.243488,8.46367,Mettmenstetten,"Mettmenstetten, ZURICH, CH",,MapQuest,city/town
270,47.275661,8.337783,Muri,"Muri, ARGOVIA, CH",,MapQuest,city/town
271,47.253968,8.182824,Reinach,"Reinach, ARGOVIA, CH",,MapQuest,city/town
272,47.207637,8.192439,Beromünster,"Beromünster, LUZERN, CH",,MapQuest,city/town
273,47.135911,8.191616,Sempach,"Sempach, LUZERN, CH",,MapQuest,city/town
274,47.166536,8.289971,Hochdorf,"Hochdorf, LUZERN, CH",,MapQuest,city/town
275,47.183174,8.461948,Cham,"Cham, ZUG, CH",,MapQuest,city/town
